sample_id,T_a_C,K_i_kWK,C_i_kJK,l_C,h_C,d_i,Q_i_star_kW,k_star_5zone
102,43.13,0.269,1831,22.0,26.0,0.9261,4.908,5
103,28.02,0.288,2994,22.0,26.0,0.1662,0.881,1
104,42.69,0.281,4105,22.0,26.0,0.9426,4.996,5
105,45.50,0.330,3432,22.0,26.0,1.0000,5.300,5
106,29.04,0.315,2121,23.0,25.0,0.2963,1.570,2
107,20.29,0.283,3740,22.0,26.0,0.0000,0.000,0
108,21.27,0.230,2355,22.0,26.0,0.0000,0.000,0
109,28.29,0.184,2134,22.0,26.0,0.1363,0.722,1
110,23.84,0.319,2178,23.0,25.0,0.0000,0.000,0
111,36.20,0.266,1976,22.0,26.0,0.5684,3.012,3
112,26.25,0.237,1984,22.0,26.0,0.0678,0.359,1
113,46.01,0.298,3857,22.0,26.0,1.0000,5.300,5
114,21.90,0.271,4058,23.0,25.0,0.0000,0.000,0
115,42.89,0.287,3667,22.0,26.0,0.9717,5.150,5
116,25.13,0.339,2829,23.0,25.0,0.0649,0.344,1
117,33.58,0.196,3591,22.0,26.0,0.3374,1.788,2
118,41.41,0.183,1901,23.0,25.0,0.6234,3.304,4
119,44.24,0.189,3924,22.0,26.0,0.7087,3.756,4
120,29.72,0.330,2012,23.0,25.0,0.3507,1.859,2
121,29.59,0.296,1974,23.0,25.0,0.3132,1.660,2
122,21.00,0.210,2325,22.0,26.0,0.0000,0.000,0
123,28.67,0.319,3022,23.0,25.0,0.2777,1.472,2
124,31.09,0.198,3303,22.0,26.0,0.2471,1.310,2
125,30.73,0.275,3966,23.0,25.0,0.3546,1.879,2
126,47.52,0.321,2497,23.0,25.0,1.0000,5.300,5
127,21.47,0.232,3131,22.0,26.0,0.0000,0.000,0
128,41.41,0.238,2370,23.0,25.0,0.7941,4.209,4
129,30.22,0.216,3348,23.0,25.0,0.2695,1.428,2
130,19.60,0.293,2884,23.0,25.0,0.0000,0.000,0
131,36.17,0.188,2684,23.0,25.0,0.4530,2.401,3
132,42.10,0.229,2236,23.0,25.0,0.7940,4.208,4
133,39.44,0.257,2413,23.0,25.0,0.7569,4.011,4
134,30.09,0.282,3175,22.0,26.0,0.2737,1.451,2
135,41.00,0.277,2702,22.0,26.0,0.8415,4.460,5
136,42.91,0.289,3623,22.0,26.0,0.9789,5.188,5
137,20.69,0.269,2148,22.0,26.0,0.0000,0.000,0
138,35.38,0.288,3165,23.0,25.0,0.6211,3.292,4
139,27.91,0.198,1851,22.0,26.0,0.1278,0.677,1
140,35.08,0.315,3856,23.0,25.0,0.6554,3.473,4
141,44.72,0.198,3814,23.0,25.0,0.7947,4.212,4
142,26.83,0.204,4126,22.0,26.0,0.0887,0.470,1
143,34.92,0.343,1931,23.0,25.0,0.6990,3.705,4
144,47.70,0.260,2755,23.0,25.0,1.0000,5.300,5
145,31.72,0.251,3940,22.0,26.0,0.3273,1.735,2
146,23.22,0.217,3148,23.0,25.0,0.0000,0.000,0
147,33.60,0.217,3408,22.0,26.0,0.3684,1.953,2
148,37.51,0.333,3049,23.0,25.0,0.8417,4.461,5
149,43.08,0.347,3787,22.0,26.0,1.0000,5.300,5
150,46.80,0.331,2083,23.0,25.0,1.0000,5.300,5
151,45.07,0.276,2842,23.0,25.0,1.0000,5.300,5
152,34.48,0.324,2153,22.0,26.0,0.5754,3.049,3
153,34.34,0.205,3386,23.0,25.0,0.4175,2.213,3
154,41.51,0.245,2708,22.0,26.0,0.7735,4.100,4
155,36.91,0.337,2320,22.0,26.0,0.7503,3.977,4
156,42.26,0.197,3793,23.0,25.0,0.6973,3.696,4
157,40.99,0.317,2553,22.0,26.0,0.9541,5.057,5
158,47.41,0.308,2405,23.0,25.0,1.0000,5.300,5
159,41.32,0.248,2157,22.0,26.0,0.7726,4.095,4
160,43.49,0.226,3958,23.0,25.0,0.8459,4.484,5
161,42.98,0.208,3606,23.0,25.0,0.7618,4.038,4
162,18.20,0.325,2842,22.0,26.0,0.0000,0.000,0
163,45.22,0.246,4196,23.0,25.0,0.9958,5.278,5
164,43.01,0.310,3009,23.0,25.0,1.0000,5.300,5
165,20.44,0.213,3269,23.0,25.0,0.0000,0.000,0
166,19.44,0.191,3067,22.0,26.0,0.0000,0.000,0
167,20.40,0.287,1976,22.0,26.0,0.0000,0.000,0
168,19.63,0.249,2225,23.0,25.0,0.0000,0.000,0
169,44.16,0.341,3341,23.0,25.0,1.0000,5.300,5
170,19.51,0.243,3330,22.0,26.0,0.0000,0.000,0
171,18.50,0.264,2862,22.0,26.0,0.0000,0.000,0
172,29.72,0.190,4063,23.0,25.0,0.2258,1.197,2
173,39.78,0.310,2788,23.0,25.0,0.9203,4.878,5
174,35.89,0.239,3133,23.0,25.0,0.5468,2.898,3
175,40.38,0.264,3301,22.0,26.0,0.7718,4.090,4
176,45.68,0.337,4157,23.0,25.0,1.0000,5.300,5
177,41.07,0.225,2753,22.0,26.0,0.6960,3.689,4
178,20.01,0.213,2286,23.0,25.0,0.0000,0.000,0
179,20.68,0.203,4035,22.0,26.0,0.0000,0.000,0
180,39.45,0.209,2627,22.0,26.0,0.5872,3.112,3
181,21.26,0.273,1990,23.0,25.0,0.0000,0.000,0
182,24.15,0.349,3978,23.0,25.0,0.0004,0.002,1
183,20.36,0.208,2712,23.0,25.0,0.0000,0.000,0
184,40.51,0.220,3032,22.0,26.0,0.6602,3.499,4
185,21.97,0.264,3176,22.0,26.0,0.0000,0.000,0
186,29.28,0.212,2874,22.0,26.0,0.1880,0.996,1
187,27.21,0.281,3542,23.0,25.0,0.1738,0.921,1
188,43.94,0.235,2138,22.0,26.0,0.8516,4.514,5
189,26.82,0.187,3762,22.0,26.0,0.0856,0.454,1
190,26.26,0.349,2368,23.0,25.0,0.1397,0.741,1
191,38.46,0.321,2756,23.0,25.0,0.8730,4.627,5
192,45.83,0.334,3578,22.0,26.0,1.0000,5.300,5
193,38.02,0.209,2248,23.0,25.0,0.5699,3.020,3
194,43.02,0.289,3908,23.0,25.0,1.0000,5.300,5
195,21.07,0.213,3047,22.0,26.0,0.0000,0.000,0
196,23.15,0.273,3563,22.0,26.0,0.0000,0.000,0
197,41.53,0.297,2851,22.0,26.0,0.9262,4.909,5
198,44.00,0.219,3774,23.0,25.0,0.8429,4.468,5
199,44.30,0.324,2225,22.0,26.0,1.0000,5.300,5
200,30.25,0.238,3174,22.0,26.0,0.2472,1.310,2
201,46.79,0.184,3685,22.0,26.0,0.7781,4.124,4
202,30.08,0.338,2086,22.0,26.0,0.3167,1.679,2
203,39.00,0.248,4052,23.0,25.0,0.7130,3.779,4
204,45.01,0.268,3738,23.0,25.0,1.0000,5.300,5
205,28.95,0.180,3097,23.0,25.0,0.1911,1.013,1
206,37.77,0.209,2337,22.0,26.0,0.5208,2.760,3
207,27.84,0.207,4181,22.0,26.0,0.1284,0.680,1
208,18.44,0.237,4173,23.0,25.0,0.0000,0.000,0
209,38.60,0.249,2161,23.0,25.0,0.6952,3.685,4
210,33.69,0.311,2218,23.0,25.0,0.5661,3.000,3
211,27.82,0.248,2896,23.0,25.0,0.1885,0.999,1
212,34.73,0.271,3436,23.0,25.0,0.5536,2.934,3
213,30.90,0.284,2493,23.0,25.0,0.3722,1.972,2
214,46.59,0.202,4005,22.0,26.0,0.8398,4.451,5
215,41.95,0.342,3460,23.0,25.0,1.0000,5.300,5
216,37.87,0.272,4140,22.0,26.0,0.6662,3.531,4
217,33.22,0.230,2112,22.0,26.0,0.3694,1.958,2
218,43.38,0.284,3128,23.0,25.0,1.0000,5.300,5
219,37.42,0.228,2884,22.0,26.0,0.5482,2.906,3
220,46.87,0.308,1886,22.0,26.0,1.0000,5.300,5
221,20.75,0.337,2365,22.0,26.0,0.0000,0.000,0
222,31.43,0.261,3094,23.0,25.0,0.3734,1.979,2
223,18.79,0.285,2460,23.0,25.0,0.0000,0.000,0
224,46.91,0.191,3307,22.0,26.0,0.8092,4.289,5
225,32.85,0.270,2723,23.0,25.0,0.4571,2.422,3
226,43.71,0.278,2848,22.0,26.0,0.9845,5.218,5
227,39.56,0.206,3802,22.0,26.0,0.5839,3.095,3
228,33.48,0.213,4186,23.0,25.0,0.3981,2.110,2
229,41.72,0.270,3436,23.0,25.0,0.9096,4.821,5
230,29.96,0.212,3300,23.0,25.0,0.2546,1.349,2
231,29.06,0.298,3919,22.0,26.0,0.2288,1.213,2
232,40.67,0.246,3546,22.0,26.0,0.7383,3.913,4
233,38.57,0.277,1874,23.0,25.0,0.7651,4.055,4
234,23.04,0.333,2222,22.0,26.0,0.0000,0.000,0
235,43.57,0.226,2238,22.0,26.0,0.8047,4.265,5
236,31.82,0.247,2137,22.0,26.0,0.3279,1.738,2
237,23.57,0.222,4084,22.0,26.0,0.0000,0.000,0
238,41.69,0.321,2333,23.0,25.0,1.0000,5.300,5
239,34.39,0.333,3174,23.0,25.0,0.6468,3.428,4
240,28.21,0.208,1991,22.0,26.0,0.1431,0.759,1
241,23.60,0.309,3534,22.0,26.0,0.0000,0.000,0
242,23.34,0.341,2734,23.0,25.0,0.0000,0.000,0
243,30.11,0.280,3884,23.0,25.0,0.3267,1.731,2
244,28.30,0.283,3447,23.0,25.0,0.2330,1.235,2
245,24.71,0.349,3011,22.0,26.0,0.0000,0.000,0
246,29.08,0.184,3350,22.0,26.0,0.1636,0.867,1
247,46.69,0.341,3141,23.0,25.0,1.0000,5.300,5
248,36.30,0.309,3655,22.0,26.0,0.6560,3.477,4
249,42.75,0.218,2266,23.0,25.0,0.7869,4.171,4
250,44.33,0.332,3778,23.0,25.0,1.0000,5.300,5
251,45.79,0.199,2955,22.0,26.0,0.8006,4.243,5
252,22.94,0.214,3799,22.0,26.0,0.0000,0.000,0
253,35.46,0.226,1890,22.0,26.0,0.4595,2.435,3
254,24.31,0.232,2581,22.0,26.0,0.0000,0.000,0
255,21.23,0.321,2286,23.0,25.0,0.0000,0.000,0
256,39.87,0.242,3927,22.0,26.0,0.6904,3.659,4
257,32.28,0.324,3059,23.0,25.0,0.5011,2.656,3
258,41.96,0.256,2562,23.0,25.0,0.8761,4.644,5
259,46.79,0.225,3832,23.0,25.0,0.9826,5.208,5
260,26.50,0.311,2009,22.0,26.0,0.0862,0.457,1
261,23.32,0.245,3070,23.0,25.0,0.0000,0.000,0
262,38.88,0.269,3148,23.0,25.0,0.7613,4.035,4
263,40.73,0.181,2666,23.0,25.0,0.5943,3.150,3
264,43.34,0.270,3855,22.0,26.0,0.9386,4.974,5
265,30.07,0.331,4044,22.0,26.0,0.3108,1.647,2
266,30.48,0.342,3874,22.0,26.0,0.3462,1.835,2
267,41.77,0.256,2861,22.0,26.0,0.8196,4.344,5
268,43.88,0.203,3495,22.0,26.0,0.7430,3.938,4
269,47.49,0.332,2471,22.0,26.0,1.0000,5.300,5
270,39.99,0.252,2673,22.0,26.0,0.7209,3.821,4
271,41.63,0.323,2491,23.0,25.0,1.0000,5.300,5
272,27.14,0.284,2085,23.0,25.0,0.1713,0.908,1
273,42.37,0.253,2598,23.0,25.0,0.8852,4.691,5
274,45.98,0.181,1895,23.0,25.0,0.7732,4.098,4
275,42.05,0.243,2351,23.0,25.0,0.8393,4.448,5
276,20.18,0.220,3342,23.0,25.0,0.0000,0.000,0
277,41.98,0.328,1966,23.0,25.0,1.0000,5.300,5
278,27.72,0.262,3052,22.0,26.0,0.1415,0.750,1
279,34.67,0.211,2041,22.0,26.0,0.4016,2.128,3
280,26.53,0.268,3281,22.0,26.0,0.0835,0.442,1
281,35.59,0.349,2978,22.0,26.0,0.6886,3.650,4
282,46.89,0.297,4048,22.0,26.0,1.0000,5.300,5
283,31.47,0.288,2859,22.0,26.0,0.3542,1.877,2
284,37.29,0.205,1815,22.0,26.0,0.4944,2.620,3
285,43.38,0.347,3489,22.0,26.0,1.0000,5.300,5
286,26.64,0.341,1967,23.0,25.0,0.1621,0.859,1
287,42.16,0.209,3104,23.0,25.0,0.7346,3.893,4
288,40.11,0.212,1951,23.0,25.0,0.6621,3.509,4
289,36.20,0.329,3348,22.0,26.0,0.6903,3.659,4
290,36.72,0.190,3572,23.0,25.0,0.4769,2.528,3
291,33.59,0.251,2975,23.0,25.0,0.4627,2.452,3
292,39.53,0.259,1858,23.0,25.0,0.7658,4.059,4
293,41.01,0.249,3495,22.0,26.0,0.7608,4.032,4
294,23.31,0.211,2640,22.0,26.0,0.0000,0.000,0
295,27.63,0.307,2672,22.0,26.0,0.1507,0.799,1
296,32.52,0.244,3871,23.0,25.0,0.4032,2.137,3
297,27.76,0.285,3026,22.0,26.0,0.1515,0.803,1
298,29.47,0.292,2379,23.0,25.0,0.3028,1.605,2
299,29.77,0.273,2236,22.0,26.0,0.2513,1.332,2
300,46.81,0.290,2221,22.0,26.0,1.0000,5.300,5
301,38.62,0.214,3689,23.0,25.0,0.6060,3.212,4
302,45.77,0.291,4120,23.0,25.0,1.0000,5.300,5
303,27.77,0.209,3184,23.0,25.0,0.1662,0.881,1
304,40.23,0.330,4093,22.0,26.0,0.9422,4.994,5
305,41.98,0.292,3204,22.0,26.0,0.9363,4.962,5
306,25.09,0.274,2367,23.0,25.0,0.0612,0.324,1
307,27.75,0.242,4114,23.0,25.0,0.1822,0.966,1
308,27.61,0.340,2440,23.0,25.0,0.2237,1.185,2
309,32.67,0.290,3569,22.0,26.0,0.4212,2.232,3
310,24.57,0.317,2496,23.0,25.0,0.0306,0.162,1
311,35.13,0.224,2409,22.0,26.0,0.4432,2.349,3
312,36.34,0.303,2233,22.0,26.0,0.6480,3.435,4
313,36.11,0.324,3197,23.0,25.0,0.7360,3.901,4
314,23.60,0.210,1968,23.0,25.0,0.0014,0.007,1
315,27.93,0.293,3230,22.0,26.0,0.1636,0.867,1
316,39.56,0.216,3499,22.0,26.0,0.6104,3.235,4
317,22.15,0.342,4070,23.0,25.0,0.0000,0.000,0
318,21.92,0.185,3421,23.0,25.0,0.0000,0.000,0
319,22.04,0.242,3550,23.0,25.0,0.0000,0.000,0
320,34.44,0.209,3920,22.0,26.0,0.3901,2.068,2
321,40.83,0.263,3746,22.0,26.0,0.7928,4.202,4
322,33.56,0.266,3165,22.0,26.0,0.4360,2.311,3
323,38.51,0.298,3533,22.0,26.0,0.7596,4.026,4
324,38.02,0.241,2368,22.0,26.0,0.6026,3.194,4
325,45.73,0.316,4014,23.0,25.0,1.0000,5.300,5
326,24.06,0.227,2525,22.0,26.0,0.0000,0.000,0
327,37.36,0.318,3852,22.0,26.0,0.7394,3.919,4
328,21.28,0.191,3804,23.0,25.0,0.0000,0.000,0
329,46.62,0.328,3169,23.0,25.0,1.0000,5.300,5
330,18.69,0.205,3185,22.0,26.0,0.0000,0.000,0
331,37.92,0.196,2277,22.0,26.0,0.4968,2.633,3
332,37.61,0.305,2263,23.0,25.0,0.7823,4.146,4
333,45.35,0.278,4181,23.0,25.0,1.0000,5.300,5
334,24.31,0.281,2023,23.0,25.0,0.0202,0.107,1
335,22.36,0.188,2162,23.0,25.0,0.0000,0.000,0
336,21.47,0.207,3880,22.0,26.0,0.0000,0.000,0
337,30.30,0.308,2135,23.0,25.0,0.3648,1.933,2
338,36.18,0.307,2014,23.0,25.0,0.7035,3.729,4
339,29.48,0.198,3992,23.0,25.0,0.2237,1.185,2
340,21.63,0.303,2872,22.0,26.0,0.0000,0.000,0
341,37.85,0.337,3624,23.0,25.0,0.8746,4.635,5
342,23.94,0.286,3551,23.0,25.0,0.0000,0.000,0
343,26.81,0.213,2713,23.0,25.0,0.1292,0.685,1
344,34.08,0.292,2893,22.0,26.0,0.5024,2.663,3
345,41.30,0.198,3634,22.0,26.0,0.6271,3.323,4
346,23.28,0.195,1855,22.0,26.0,0.0000,0.000,0
347,36.76,0.204,2609,23.0,25.0,0.5091,2.698,3
348,35.29,0.236,2123,22.0,26.0,0.4696,2.489,3
349,29.27,0.183,3776,23.0,25.0,0.2039,1.081,2
350,39.02,0.242,4122,22.0,26.0,0.6519,3.455,4
351,43.19,0.191,3581,23.0,25.0,0.7129,3.778,4
352,42.16,0.216,3401,22.0,26.0,0.7167,3.799,4
353,21.85,0.298,2992,23.0,25.0,0.0000,0.000,0
354,41.29,0.219,2889,23.0,25.0,0.7295,3.866,4
355,26.26,0.252,2662,22.0,26.0,0.0692,0.367,1
356,34.19,0.246,3630,23.0,25.0,0.4829,2.559,3
357,24.36,0.185,4060,23.0,25.0,0.0343,0.182,1
358,18.77,0.348,4032,22.0,26.0,0.0000,0.000,0
359,21.69,0.284,2950,22.0,26.0,0.0000,0.000,0
360,26.34,0.208,3287,22.0,26.0,0.0699,0.370,1
361,39.57,0.344,2835,23.0,25.0,1.0000,5.300,5
362,30.37,0.202,3864,23.0,25.0,0.2614,1.385,2
363,28.27,0.224,3874,23.0,25.0,0.1951,1.034,1
364,24.66,0.301,2485,23.0,25.0,0.0370,0.196,1
365,19.76,0.183,2672,22.0,26.0,0.0000,0.000,0
366,46.70,0.276,3644,22.0,26.0,1.0000,5.300,5
367,29.06,0.332,2540,23.0,25.0,0.3106,1.646,2
368,29.13,0.280,3668,22.0,26.0,0.2220,1.176,2
369,29.16,0.252,2214,23.0,25.0,0.2546,1.349,2
370,25.54,0.323,2128,22.0,26.0,0.0285,0.151,1
371,31.85,0.180,1906,23.0,25.0,0.2899,1.537,2
372,41.07,0.316,3034,23.0,25.0,1.0000,5.300,5
373,24.22,0.317,3568,22.0,26.0,0.0000,0.000,0
374,34.62,0.197,2757,23.0,25.0,0.4141,2.195,3
375,32.67,0.252,1902,23.0,25.0,0.4213,2.233,3
376,33.51,0.318,3408,22.0,26.0,0.5071,2.687,3
377,21.22,0.281,3884,23.0,25.0,0.0000,0.000,0
378,47.23,0.300,2912,23.0,25.0,1.0000,5.300,5
379,33.25,0.249,2044,23.0,25.0,0.4450,2.358,3
380,31.86,0.219,1991,23.0,25.0,0.3399,1.802,2
381,42.39,0.229,4128,22.0,26.0,0.7645,4.052,4
382,32.76,0.214,2761,23.0,25.0,0.3698,1.960,2
383,39.12,0.184,3156,23.0,25.0,0.5474,2.901,3
384,28.47,0.326,3423,22.0,26.0,0.2085,1.105,2
385,30.78,0.253,2409,23.0,25.0,0.3324,1.762,2
386,24.14,0.275,2601,23.0,25.0,0.0118,0.062,1
387,36.21,0.207,3744,22.0,26.0,0.4546,2.409,3
388,45.66,0.323,3935,22.0,26.0,1.0000,5.300,5
389,42.70,0.193,3204,23.0,25.0,0.7024,3.723,4
390,42.92,0.299,2940,23.0,25.0,1.0000,5.300,5
391,19.73,0.225,2796,23.0,25.0,0.0000,0.000,0
392,27.32,0.236,3214,23.0,25.0,0.1599,0.847,1
393,41.85,0.189,3212,22.0,26.0,0.6207,3.290,4
394,21.73,0.223,1847,22.0,26.0,0.0000,0.000,0
395,35.57,0.272,4060,23.0,25.0,0.5998,3.179,3
396,42.62,0.276,3480,22.0,26.0,0.9210,4.881,5
397,35.23,0.234,3403,23.0,25.0,0.5072,2.688,3
398,27.50,0.209,2413,23.0,25.0,0.1553,0.823,1
399,42.23,0.231,3792,22.0,26.0,0.7630,4.044,4
400,45.88,0.247,3255,22.0,26.0,0.9835,5.213,5
401,37.17,0.290,2277,22.0,26.0,0.6679,3.540,4
402,38.55,0.318,2717,22.0,26.0,0.8106,4.296,5
403,21.06,0.334,4093,23.0,25.0,0.0000,0.000,0
404,24.49,0.229,1918,22.0,26.0,0.0000,0.000,0
405,35.13,0.222,3794,22.0,26.0,0.4394,2.329,3
406,31.11,0.216,3453,22.0,26.0,0.2646,1.402,2
407,35.49,0.335,4190,22.0,26.0,0.6562,3.478,4
408,42.21,0.191,3774,22.0,26.0,0.6420,3.402,4
409,22.95,0.253,4171,23.0,25.0,0.0000,0.000,0
410,18.79,0.259,3037,23.0,25.0,0.0000,0.000,0
411,21.17,0.250,3818,23.0,25.0,0.0000,0.000,0
412,36.92,0.292,2423,23.0,25.0,0.7142,3.785,4
413,25.06,0.296,3602,22.0,26.0,0.0038,0.020,1
414,45.02,0.333,2000,22.0,26.0,1.0000,5.300,5
415,46.88,0.304,3090,22.0,26.0,1.0000,5.300,5
416,45.83,0.266,3757,23.0,25.0,1.0000,5.300,5
417,47.12,0.338,3946,22.0,26.0,1.0000,5.300,5
418,34.05,0.207,2089,22.0,26.0,0.3716,1.970,2
419,33.66,0.305,2360,22.0,26.0,0.4979,2.639,3
420,47.18,0.244,4038,23.0,25.0,1.0000,5.300,5
421,19.85,0.184,3096,22.0,26.0,0.0000,0.000,0
422,32.23,0.260,2025,23.0,25.0,0.4119,2.183,3
423,43.26,0.245,2004,22.0,26.0,0.8535,4.523,5
424,20.75,0.290,2002,23.0,25.0,0.0000,0.000,0
425,33.33,0.265,3761,22.0,26.0,0.4229,2.241,3
426,41.74,0.282,2816,23.0,25.0,0.9475,5.021,5
427,31.90,0.308,3189,22.0,26.0,0.3994,2.117,2
428,37.94,0.189,1904,22.0,26.0,0.4812,2.550,3
429,24.88,0.200,3971,23.0,25.0,0.0521,0.276,1
430,41.70,0.252,2651,23.0,25.0,0.8508,4.509,5
431,32.83,0.274,2395,22.0,26.0,0.4095,2.170,3
432,26.52,0.332,3458,23.0,25.0,0.1520,0.806,1
