month,hour,T_a_C
July,2.00,36.00
July,2.25,36.52
July,2.50,37.04
July,2.75,37.56
July,3.00,38.07
July,3.25,38.57
July,3.50,39.06
July,3.75,39.54
July,4.00,40.00
July,4.25,40.44
July,4.50,40.87
July,4.75,41.27
July,5.00,41.66
July,5.25,42.01
July,5.50,42.35
July,5.75,42.65
July,6.00,42.93
July,6.25,43.17
July,6.50,43.39
July,6.75,43.58
July,7.00,43.73
July,7.25,43.85
July,7.50,43.93
July,7.75,43.98
July,8.00,44.00
July,8.25,43.98
July,8.50,43.93
July,8.75,43.85
July,9.00,43.73
July,9.25,43.58
July,9.50,43.39
July,9.75,43.17
July,10.00,42.93
July,10.25,42.65
July,10.50,42.35
July,10.75,42.01
July,11.00,41.66
July,11.25,41.27
July,11.50,40.87
July,11.75,40.44
July,12.00,40.00
July,12.25,39.54
July,12.50,39.06
July,12.75,38.57
July,13.00,38.07
July,13.25,37.56
July,13.50,37.04
July,13.75,36.52
July,14.00,36.00
July,14.25,35.48
July,14.50,34.96
July,14.75,34.44
July,15.00,33.93
July,15.25,33.43
July,15.50,32.94
July,15.75,32.46
July,16.00,32.00
July,16.25,31.56
July,16.50,31.13
July,16.75,30.73
July,17.00,30.34
July,17.25,29.99
July,17.50,29.65
July,17.75,29.35
July,18.00,29.07
July,18.25,28.83
July,18.50,28.61
July,18.75,28.42
July,19.00,28.27
July,19.25,28.15
July,19.50,28.07
July,19.75,28.02
July,20.00,28.00
July,20.25,28.02
July,20.50,28.07
July,20.75,28.15
July,21.00,28.27
July,21.25,28.42
July,21.50,28.61
July,21.75,28.83
July,22.00,29.07
July,22.25,29.35
July,22.50,29.65
July,22.75,29.99
July,23.00,30.34
July,23.25,30.73
July,23.50,31.13
July,23.75,31.56
October,0.00,23.50
October,0.25,23.90
October,0.50,24.32
October,0.75,24.75
October,1.00,25.19
October,1.25,25.63
October,1.50,26.09
October,1.75,26.54
October,2.00,27.00
October,2.25,27.46
October,2.50,27.91
October,2.75,28.37
October,3.00,28.81
October,3.25,29.25
October,3.50,29.68
October,3.75,30.10
October,4.00,30.50
October,4.25,30.89
October,4.50,31.26
October,4.75,31.62
October,5.00,31.95
October,5.25,32.26
October,5.50,32.55
October,5.75,32.82
October,6.00,33.06
October,6.25,33.28
October,6.50,33.47
October,6.75,33.63
October,7.00,33.76
October,7.25,33.87
October,7.50,33.94
October,7.75,33.99
October,8.00,34.00
October,8.25,33.99
October,8.50,33.94
October,8.75,33.87
October,9.00,33.76
October,9.25,33.63
October,9.50,33.47
October,9.75,33.28
October,10.00,33.06
October,10.25,32.82
October,10.50,32.55
October,10.75,32.26
October,11.00,31.95
October,11.25,31.62
October,11.50,31.26
October,11.75,30.89
October,12.00,30.50
October,12.25,30.10
October,12.50,29.68
October,12.75,29.25
October,13.00,28.81
October,13.25,28.37
October,13.50,27.91
October,13.75,27.46
October,14.00,27.00
October,14.25,26.54
October,14.50,26.09
October,14.75,25.63
October,15.00,25.19
October,15.25,24.75
October,15.50,24.32
October,15.75,23.90
October,16.00,23.50
October,16.25,23.11
October,16.50,22.74
October,16.75,22.38
October,17.00,22.05
October,17.25,21.74
October,17.50,21.45
October,17.75,21.18
October,18.00,20.94
October,18.25,20.72
October,18.50,20.53
October,18.75,20.37
October,19.00,20.24
October,19.25,20.13
October,19.50,20.06
October,19.75,20.01
October,20.00,20.00
October,20.25,20.01
October,20.50,20.06
October,20.75,20.13
October,21.00,20.24
October,21.25,20.37
October,21.50,20.53
October,21.75,20.72
October,22.00,20.94
October,22.25,21.18
October,22.50,21.45
October,22.75,21.74
October,23.00,22.05
October,23.25,22.38
October,23.50,22.74
October,23.75,23.11
