month,hour,T_a_C
April,10.50,31.30
April,10.75,31.65
April,11.00,32.00
April,11.25,32.33
April,11.50,32.65
April,11.75,32.96
April,12.00,33.24
April,12.25,33.51
April,12.50,33.76
April,12.75,33.99
April,13.00,34.20
April,13.25,34.38
April,13.50,34.54
April,13.75,34.68
April,14.00,34.80
April,14.25,34.88
April,14.50,34.95
April,14.75,34.99
April,15.00,35.00
April,15.25,34.99
April,15.50,34.95
April,15.75,34.88
April,16.00,34.80
April,16.25,34.68
April,16.50,34.54
April,16.75,34.38
April,17.00,34.20
April,17.25,33.99
April,17.50,33.76
April,17.75,33.51
April,18.00,33.24
April,18.25,32.96
April,18.50,32.65
April,18.75,32.33
April,19.00,32.00
April,19.25,31.65
April,19.50,31.30
April,19.75,30.93
April,20.00,30.55
April,20.25,30.17
April,20.50,29.78
April,20.75,29.39
April,21.00,29.00
April,21.25,28.61
April,21.50,28.22
April,21.75,27.83
April,22.00,27.45
April,22.25,27.07
April,22.50,26.70
April,22.75,26.35
April,23.00,26.00
April,23.25,25.67
April,23.50,25.35
April,23.75,25.04
July,0.00,31.05
July,0.25,30.74
July,0.50,30.45
July,0.75,30.18
July,1.00,29.94
July,1.25,29.72
July,1.50,29.53
July,1.75,29.37
July,2.00,29.24
July,2.25,29.13
July,2.50,29.06
July,2.75,29.01
July,3.00,29.00
July,3.25,29.01
July,3.50,29.06
July,3.75,29.13
July,4.00,29.24
July,4.25,29.37
July,4.50,29.53
July,4.75,29.72
July,5.00,29.94
July,5.25,30.18
July,5.50,30.45
July,5.75,30.74
July,6.00,31.05
July,6.25,31.38
July,6.50,31.74
July,6.75,32.11
July,7.00,32.50
July,7.25,32.90
July,7.50,33.32
July,7.75,33.75
July,8.00,34.19
July,8.25,34.63
July,8.50,35.09
July,8.75,35.54
July,9.00,36.00
July,9.25,36.46
July,9.50,36.91
July,9.75,37.37
July,10.00,37.81
July,10.25,38.25
July,10.50,38.68
July,10.75,39.10
July,11.00,39.50
July,11.25,39.89
July,11.50,40.26
July,11.75,40.62
July,12.00,40.95
July,12.25,41.26
July,12.50,41.55
July,12.75,41.82
July,13.00,42.06
July,13.25,42.28
July,13.50,42.47
July,13.75,42.63
July,14.00,42.76
July,14.25,42.87
July,14.50,42.94
July,14.75,42.99
July,15.00,43.00
July,15.25,42.99
July,15.50,42.94
July,15.75,42.87
July,16.00,42.76
July,16.25,42.63
July,16.50,42.47
July,16.75,42.28
July,17.00,42.06
July,17.25,41.82
July,17.50,41.55
July,17.75,41.26
July,18.00,40.95
July,18.25,40.62
July,18.50,40.26
July,18.75,39.89
July,19.00,39.50
July,19.25,39.10
July,19.50,38.68
July,19.75,38.25
July,20.00,37.81
July,20.25,37.37
July,20.50,36.91
July,20.75,36.46
July,21.00,36.00
July,21.25,35.54
July,21.50,35.09
July,21.75,34.63
July,22.00,34.19
July,22.25,33.75
July,22.50,33.32
July,22.75,32.90
July,23.00,32.50
July,23.25,32.11
July,23.50,31.74
July,23.75,31.38
October,0.00,27.18
October,0.25,26.93
October,0.50,26.69
October,0.75,26.47
October,1.00,26.27
October,1.25,26.09
October,1.50,25.94
October,1.75,25.81
October,2.00,25.70
October,2.25,25.61
October,2.50,25.55
October,2.75,25.51
October,3.00,25.50
October,3.25,25.51
October,3.50,25.55
October,3.75,25.61
October,4.00,25.70
October,4.25,25.81
October,4.50,25.94
October,4.75,26.09
October,5.00,26.27
October,5.25,26.47
October,5.50,26.69
October,5.75,26.93
October,6.00,27.18
October,6.25,27.46
October,6.50,27.75
October,6.75,28.06
October,7.00,28.38
October,7.25,28.71
October,7.50,29.05
October,7.75,29.40
October,8.00,29.76
October,8.25,30.13
October,8.50,30.50
October,8.75,30.87
October,9.00,31.25
October,9.25,31.63
October,9.50,32.00
October,9.75,32.37
October,10.00,32.74
October,10.25,33.10
October,10.50,33.45
October,10.75,33.79
October,11.00,34.12
October,11.25,34.44
October,11.50,34.75
October,11.75,35.04
October,12.00,35.32
October,12.25,35.57
October,12.50,35.81
October,12.75,36.03
October,13.00,36.23
October,13.25,36.41
October,13.50,36.56
October,13.75,36.69
October,14.00,36.80
October,14.25,36.89
October,14.50,36.95
October,14.75,36.99
October,15.00,37.00
October,15.25,36.99
October,15.50,36.95
October,15.75,36.89
October,16.00,36.80
October,16.25,36.69
October,16.50,36.56
October,16.75,36.41
October,17.00,36.23
October,17.25,36.03
October,17.50,35.81
October,17.75,35.57
October,18.00,35.32
October,18.25,35.04
October,18.50,34.75
October,18.75,34.44
October,19.00,34.12
October,19.25,33.79
October,19.50,33.45
October,19.75,33.10
October,20.00,32.74
October,20.25,32.37
October,20.50,32.00
October,20.75,31.63
October,21.00,31.25
October,21.25,30.87
October,21.50,30.50
October,21.75,30.13
October,22.00,29.76
October,22.25,29.40
October,22.50,29.05
October,22.75,28.71
October,23.00,28.38
October,23.25,28.06
October,23.50,27.75
October,23.75,27.46
